active,rating,units,room_type,month_date,revenue,nn,free,revenue_usd,occupancy_rate,revpar_usd
true,5.0,1,private_room,2023-02-01,2164.0,18,10,2813.0,0.64,1808.0
true,5.0,1,private_room,2025-11-01,1507.0,12,18,1959.0,0.4,784.0
true,4.4,1,private_room,2025-02-01,3973.0,13,15,5165.0,0.46,2398.0
true,3.3,1,entire_home,2025-02-01,397.0,4,24,516.0,0.14,74.0
true,4.9,1,private_room,2024-02-01,786.0,8,21,1022.0,0.28,282.0
true,4.9,1,private_room,2026-02-01,120.0,1,27,156.0,0.04,6.0
true,4.7,1,private_room,2023-02-01,617.0,10,18,802.0,0.36,286.0
true,4.7,1,private_room,2025-02-01,363.0,5,23,472.0,0.18,84.0
true,4.7,1,private_room,2025-06-01,825.0,10,20,1073.0,0.33,358.0
true,3.9,1,entire_home,2025-02-01,3105.0,27,1,4037.0,0.96,3892.0
true,5.0,1,entire_home,2024-09-01,6006.0,14,16,7808.0,0.47,3644.0
true,4.7,1,entire_home,2023-02-01,5196.0,25,3,6755.0,0.89,6031.0
true,4.7,1,entire_home,2024-02-01,4071.0,19,10,5292.0,0.66,3467.0
true,4.7,1,entire_home,2024-04-01,2990.0,14,16,3887.0,0.47,1814.0
true,4.7,1,entire_home,2026-02-01,2988.0,13,15,3884.0,0.46,1803.0
true,4.1,1,entire_home,2026-02-01,1512.0,7,21,1966.0,0.25,491.0
true,5.0,1,private_room,2025-02-01,1136.0,18,10,1477.0,0.64,949.0
true,4.9,1,private_room,2022-04-01,929.0,14,16,1208.0,0.47,564.0
true,4.8,1,entire_home,2026-02-01,1399.0,5,23,1819.0,0.18,325.0
true,4.8,1,entire_home,2022-02-01,2430.0,22,6,3159.0,0.79,2482.0
true,4.8,1,entire_home,2024-02-01,3560.0,19,10,4628.0,0.66,3032.0
true,4.8,1,entire_home,2025-02-01,3501.0,18,10,4551.0,0.64,2926.0
true,4.8,1,entire_home,2026-02-01,733.0,4,24,953.0,0.14,136.0
true,5.0,1,private_room,2023-02-01,1927.0,25,3,2505.0,0.89,2237.0
true,5.0,1,private_room,2024-02-01,621.0,7,22,807.0,0.24,195.0
true,5.0,1,private_room,2024-09-01,953.0,10,20,1239.0,0.33,413.0
true,5.0,1,private_room,2025-02-01,99.0,1,27,129.0,0.04,5.0
true,4.6,1,private_room,2022-11-01,1167.0,14,16,1517.0,0.47,708.0
true,4.6,1,private_room,2023-02-01,424.0,5,23,551.0,0.18,98.0
true,4.9,1,entire_home,2023-02-01,3316.0,27,1,4311.0,0.96,4157.0
true,4.9,1,entire_home,2024-02-01,545.0,4,25,709.0,0.14,98.0
true,4.9,1,entire_home,2025-02-01,583.0,4,24,758.0,0.14,108.0
true,4.9,1,private_room,2023-02-01,182.0,5,23,237.0,0.18,42.0
true,4.9,1,private_room,2025-02-01,382.0,7,21,497.0,0.25,124.0
true,4.6,1,entire_home,2025-02-01,1953.0,10,18,2539.0,0.36,907.0
true,4.3,1,entire_home,2025-02-01,8351.0,23,5,10856.0,0.82,8918.0
true,4.3,1,entire_home,2026-02-01,8177.0,15,13,10630.0,0.54,5695.0
true,4.9,1,entire_home,2025-02-01,3974.0,13,15,5166.0,0.46,2399.0
true,4.9,1,entire_home,2026-02-01,3328.0,10,18,4326.0,0.36,1545.0
true,4.9,1,entire_home,2026-02-01,1966.0,6,22,2556.0,0.21,548.0
true,5.0,1,entire_home,2024-02-01,710.0,10,19,923.0,0.34,318.0
true,5.0,1,entire_home,2022-02-01,789.0,6,22,1026.0,0.21,220.0
true,4.8,1,entire_home,2024-02-01,1496.0,6,23,1945.0,0.21,402.0
true,4.5,1,entire_home,2023-02-01,3312.0,27,1,4306.0,0.96,4152.0
true,4.7,1,entire_home,2022-02-01,11869.0,23,5,15430.0,0.82,12674.0
